label,rank,word,tfidf_score
Conversation Glue,1,yeah,0.42935292474834746
Conversation Glue,2,yes,0.21467646237417373
Conversation Glue,3,thank,0.2088000258684966
Conversation Glue,4,nice,0.18757196288109007
Conversation Glue,5,going,0.18290298383568504
Conversation Glue,6,nope,0.16033029581996602
Conversation Glue,7,come,0.1524191531964042
Conversation Glue,8,right,0.1524191531964042
Conversation Glue,9,sir,0.1524191531964042
Conversation Glue,10,okay,0.14204048324399898
Emotion,1,boyle,0.22593741456083768
Emotion,2,oh,0.2174418645347199
Emotion,3,hurt,0.21620012300441552
Emotion,4,ready,0.17946466920824425
Emotion,5,god,0.1435717353665954
Emotion,6,nervous,0.1435717353665954
Emotion,7,sir,0.13999799538092375
Emotion,8,damn,0.13318347083999912
Emotion,9,pact,0.12972007380264933
Emotion,10,born,0.12972007380264933
Food,1,pie,0.3523697521303098
Food,2,pizza,0.23491316808687318
Food,3,food,0.19445756727264707
Food,4,best,0.1929480929493021
Food,5,eat,0.1624984197415341
Food,6,diner,0.15660877872458212
Food,7,flatbush,0.15660877872458212
Food,8,muffin,0.15660877872458212
Food,9,crust,0.15660877872458212
Food,10,lunch,0.15660877872458212
Insult / Snark,1,stupid,0.1623627092995243
Insult / Snark,2,weird,0.1581405147372605
Insult / Snark,3,fine,0.14960722981051022
Insult / Snark,4,gonna,0.13254065995700964
Insult / Snark,5,dead,0.13127020822816232
Insult / Snark,6,hand,0.13127020822816232
Insult / Snark,7,birthday,0.13127020822816232
Insult / Snark,8,tell,0.12989016743961943
Insult / Snark,9,stop,0.12989016743961943
Insult / Snark,10,try,0.12989016743961943
Personal Life,1,wife,0.15117108670767124
Personal Life,2,want,0.14566380911524904
Personal Life,3,girls,0.14259208165332302
Personal Life,4,oh,0.1234046640703093
Personal Life,5,school,0.12222178427427688
Personal Life,6,tonight,0.12222178427427688
Personal Life,7,jake,0.11656921726664923
Personal Life,8,got,0.11656921726664923
Personal Life,9,hey,0.11656921726664923
Personal Life,10,let,0.10593731572018111
Police Work,1,right,0.24500250043832847
Police Work,2,case,0.19741597762328078
Police Work,3,captain,0.1687446332903911
Police Work,4,peralta,0.15982408458629144
Police Work,5,diaz,0.1435752564532951
Police Work,6,need,0.13590449830070978
Police Work,7,detective,0.12562834939663323
Police Work,8,got,0.12324161217819248
Police Work,9,hands,0.10810271264860384
Police Work,10,room,0.10768144233997133
Romance,1,rosa,0.2555347564542205
Romance,2,dinner,0.19229242330023813
Romance,3,woman,0.16872357358191567
Romance,4,wants,0.16872357358191567
Romance,5,hot,0.16872357358191567
Romance,6,girls,0.16872357358191567
Romance,7,date,0.1442193174751786
Romance,8,think,0.14196375358567806
Romance,9,evil,0.1355069218659669
Romance,10,healthy,0.1355069218659669
